journal_title,impact_factor
Nature,48.5
Nature Communications,15.7
Nature Astronomy,14.3
Nature Biomedical Engineering,26.6
Nature Biotechnology,41.7
Nature Cancer,28.5
Nature Catalysis,44.6
Nature Cell Biology,19.1
Nature Chemical Biology,13.7
Nature Chemistry,20.2
Nature Climate Change,27.1
Nature Computational Science,18.3
Nature Ecology & Evolution,14.5
Nature Electronics,40.9
Nature Energy,60.1
Nature Food,21.9
Nature Genetics,29.0
Nature Geoscience,16.1
Nature Human Behaviour,15.9
Nature Immunology,27.6
Nature Machine Intelligence,23.9
Nature Materials,38.5
Nature Medicine,50.0
Nature Metabolism,20.8
Nature Methods,32.1
Nature Microbiology,19.4
Nature Nanotechnology,34.9
Nature Neuroscience,20.0
Nature Photonics,32.9
Nature Physics,18.4
Nature Plants,13.6
Nature Protocols,16.0
Nature Structural and Molecular Biology,10.1
Nature Sustainability,27.1
Nature Reviews Cancer,66.8
Nature Reviews Cardiology,44.2
Nature Reviews Chemistry,51.7
Nature Reviews Clinical Oncology,82.2
Nature Reviews Disease Primers,60.6
Nature Reviews Drug Discovery,101.8
Nature Reviews Earth & Environment,71.5
Nature Reviews Endocrinology,40.0
Nature Reviews Gastroenterology & Hepatology,51.0
Nature Reviews Genetics,52.0
Nature Reviews Immunology,60.9
Nature Reviews Materials,86.2
Nature Reviews Methods Primers,56.0
Nature Reviews Microbiology,103.3
Nature Reviews Molecular Cell Biology,90.2
Nature Reviews Nephrology,39.8
Nature Reviews Neurology,33.1
Nature Reviews Neuroscience,26.7
Nature Reviews Physics,39.5
Nature Reviews Psychology,21.8
Nature Reviews Rheumatology,32.7
Nature Reviews Urology,14.6
npj Clean Water,11.4
npj Computational Materials,11.9
npj Digital Medicine,15.1
npj Flexible Electronics,15.5
