journal,year,title,doi,paper_url,github_url,evidence
Nature,2026,China intensifies push to become world leader in tech and AI,10.1038/d41586-026-00814-3,https://doi.org/10.1038/d41586-026-00814-3,,
Nature,2026,Sea-urchin spines generate electrical signals in flowing water,10.1038/d41586-026-00374-6,https://doi.org/10.1038/d41586-026-00374-6,,
Nature,2026,Pokémon turns 30 — how the fictional pocket monsters shaped science,10.1038/d41586-026-00441-y,https://doi.org/10.1038/d41586-026-00441-y,,
Nature,2026,Peanut-processing microbes ward off dangerous allergic shock,10.1038/d41586-026-00668-9,https://doi.org/10.1038/d41586-026-00668-9,,
Nature,2026,Predictive coding of reward in the hippocampus,10.1038/s41586-025-09958-0,https://doi.org/10.1038/s41586-025-09958-0,,
Nature,2026,How bioRxiv changed the way biologists share ideas — in numbers,10.1038/d41586-026-00709-3,https://doi.org/10.1038/d41586-026-00709-3,,
Nature,2026,The ethical risks of open-access agreements being used for authorship leverage,10.1038/d41586-026-00776-6,https://doi.org/10.1038/d41586-026-00776-6,,
Nature,2026,"Hey ChatGPT, write me a fictional paper: these LLMs are willing to commit academic fraud",10.1038/d41586-026-00595-9,https://doi.org/10.1038/d41586-026-00595-9,,
Nature,2026,Author Correction: Myocardial reprogramming by HMGN1 underlies heart defects in trisomy 21,10.1038/s41586-026-10283-3,https://doi.org/10.1038/s41586-026-10283-3,,
Nature,2026,Robust cytoplasmic partitioning by solving a cytoskeletal instability,10.1038/s41586-025-10023-z,https://doi.org/10.1038/s41586-025-10023-z,,
Nature,2026,Photonic ‘ski jump’ steers light beam from silicon chip,10.1038/d41586-026-00489-w,https://doi.org/10.1038/d41586-026-00489-w,,
Nature,2026,Higher-dimensional Fermiology in bulk moiré metals,10.1038/s41586-026-10173-8,https://doi.org/10.1038/s41586-026-10173-8,,
Nature,2026,Entanglement-assisted non-local optical interferometry in a quantum network,10.1038/s41586-026-10171-w,https://doi.org/10.1038/s41586-026-10171-w,,
Nature,2026,Clearing trapped cholesterol could relieve lymphoedema,10.1038/d41586-026-00176-w,https://doi.org/10.1038/d41586-026-00176-w,,
Nature,2026,Capturing dynamic phage–pathogen coevolution by clinical surveillance,10.1038/s41586-026-10136-z,https://doi.org/10.1038/s41586-026-10136-z,"Seemann, T. Snippy: rapid haploid variant calling and core SNP phylogeny. GitHub https://github.com/tseemann/snippy (2015).",crossref_metadata
Nature,2026,Memory loss is fuelled by gut microbes in ageing mice,10.1038/d41586-026-00768-6,https://doi.org/10.1038/d41586-026-00768-6,,
Nature,2026,Universities have become property businesses. What does that mean for research?,10.1038/d41586-025-04167-1,https://doi.org/10.1038/d41586-025-04167-1,,
Nature,2026,Structures of Marburgvirus glycoprotein and its complex with NPC1 receptor,10.1038/s41586-026-10240-0,https://doi.org/10.1038/s41586-026-10240-0,,
Nature,2026,Ageing promotes metastasis via activation of the integrated stress response,10.1038/s41586-026-10216-0,https://doi.org/10.1038/s41586-026-10216-0,,
Nature,2026,Risk-adaptive therapy guided by dynamic ctDNA in nasopharyngeal carcinoma,10.1038/s41586-026-10244-w,https://doi.org/10.1038/s41586-026-10244-w,,
Science,2026,In Other Journals,10.1126/science.aeh0793,https://doi.org/10.1126/science.aeh0793,,
Science,2026,Plan to break up iconic U.S. climate lab moves ahead,10.1126/science.aeh1090,https://doi.org/10.1126/science.aeh1090,,
Science,2026,Programmable genome editing in human cells using RNA-guided bridge recombinases,10.1126/science.adz1884,https://doi.org/10.1126/science.adz1884,,
Science,2026,A deep-time landscape of plant cis-regulatory sequence evolution,10.1126/science.adt8983,https://doi.org/10.1126/science.adt8983,Picard: A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as SAM/BAM/CRAM and VCF (Broad Institute 2025); https://github.com/broadinstitute/picard.,crossref_metadata
Science,2026,Evolution to the rescue,10.1126/science.aef8427,https://doi.org/10.1126/science.aef8427,,
Science,2026,Journals can help protect animal welfare—Response,10.1126/science.aef5673,https://doi.org/10.1126/science.aef5673,,
Science,2026,"Erratum for the Research Article “Acid-humidified CO
                    <sub>2</sub>
                    gas input for stable electrochemical CO
                    <sub>2</sub>
                    reduction reaction”",10.1126/science.aeh0747,https://doi.org/10.1126/science.aeh0747,,
Science,2026,A unified platform for nucleoside analog synthesis,10.1126/science.aed6880,https://doi.org/10.1126/science.aed6880,,
Science,2026,Ease the struggle of young researchers,10.1126/science.aef4462,https://doi.org/10.1126/science.aef4462,,
Science,2026,Soaking up destructive signals,10.1126/science.aef4930,https://doi.org/10.1126/science.aef4930,,
Science,2026,Why three scientists said no to Epstein,10.1126/science.aeg9255,https://doi.org/10.1126/science.aeg9255,,
Science,2026,Sabotaging the NSF fellowship is a blunder,10.1126/science.aeg7883,https://doi.org/10.1126/science.aeg7883,,
Science,2026,Investing in hope,10.1126/science.aeg8839,https://doi.org/10.1126/science.aeg8839,,
Science,2026,Multiple chromosomal inversions modulate continuous local adaptation along a steep thermal cline,10.1126/science.ady6774,https://doi.org/10.1126/science.ady6774,,
Science,2026,Stem cell therapies ‘come of age’ with two conditional approvals in Japan,10.1126/science.aeg9252,https://doi.org/10.1126/science.aeg9252,,
Science,2026,Repeated convergent evolution of bradykinin mimics as defensive toxins,10.1126/science.adx0452,https://doi.org/10.1126/science.adx0452,,
Science,2026,In Science Journals,10.1126/science.aeg8837,https://doi.org/10.1126/science.aeg8837,,
Science,2026,Chinese institution rejects pricey open-access fees,10.1126/science.aeg9256,https://doi.org/10.1126/science.aeg9256,,
Science,2026,A small polymerase ribozyme that can synthesize itself and its complementary strand,10.1126/science.adt2760,https://doi.org/10.1126/science.adt2760,B. Bushnell BBtools; https://github.com/bbushnell/BBTools.,crossref_metadata
Science,2026,Poland: No country for PhD researchers,10.1126/science.aef3833,https://doi.org/10.1126/science.aef3833,,
Cell,2026,Tissues assemble! Rebuilding the human periportal liver in a dish,10.1016/j.stem.2026.02.005,https://doi.org/10.1016/j.stem.2026.02.005,,
Cell,2026,"Adult neurogenesis: New neurons, new opportunities",10.1016/j.stem.2026.01.014,https://doi.org/10.1016/j.stem.2026.01.014,,
Cell,2026,Minimizing far-extending chromatin perturbation in genome editing preserves stem cell identity,10.1016/j.stem.2026.01.015,https://doi.org/10.1016/j.stem.2026.01.015,,
Cell,2026,Randomized phase 2b dose-escalation trial of stem cell therapy with laromestrocel for aging frailty,10.1016/j.stem.2026.01.017,https://doi.org/10.1016/j.stem.2026.01.017,,
Cell,2026,VIPR1 acts as an enteric neural checkpoint that suppresses intestinal stem cell-driven epithelial regeneration and exacerbates colitis,10.1016/j.stem.2026.01.009,https://doi.org/10.1016/j.stem.2026.01.009,,
Cell,2026,Paired patient-derived organoids reveal transcription factor-driven epigenetic remodeling in breast cancer metastasis,10.1016/j.stem.2026.02.007,https://doi.org/10.1016/j.stem.2026.02.007,,
Cell,2026,Prevention of transgene silencing during human pluripotent stem cell differentiation,10.1016/j.stem.2026.01.007,https://doi.org/10.1016/j.stem.2026.01.007,,
Cell,2026,Cradles for maturation: Turning progenitor cells into functional intestinal epithelium,10.1016/j.stem.2026.01.016,https://doi.org/10.1016/j.stem.2026.01.016,,
Cell,2026,Off-the-shelf CAR natural killer progenitor cell therapies are built to last,10.1016/j.stem.2026.02.004,https://doi.org/10.1016/j.stem.2026.02.004,,
Cell,2026,Distinct spatial patterning and transcriptomic landscapes of human neural organoids by localized delivery of morphogens,10.1016/j.stem.2026.01.008,https://doi.org/10.1016/j.stem.2026.01.008,,
Cell,2026,comBO: A combined human bone and lympho-myeloid bone marrow organoid for preclinical modeling of hematopoietic disorders,10.1016/j.stem.2026.01.010,https://doi.org/10.1016/j.stem.2026.01.010,,
Cell,2026,Pluripotent stem cell-derived CAR-NK progenitor therapy targets minimal residual disease and prevents relapse in leukemia models,10.1016/j.stem.2026.01.013,https://doi.org/10.1016/j.stem.2026.01.013,,
Cell,2026,In vivo CAR-Tfh cell reprogramming restores tolerance in a mouse model of autoimmune hepatitis,10.1016/j.stem.2026.02.006,https://doi.org/10.1016/j.stem.2026.02.006,,
Cell,2026,Neuronal VIP shapes intestinal stem cell activity and mucosal immunity,10.1016/j.stem.2026.02.001,https://doi.org/10.1016/j.stem.2026.02.001,,
Cell,2026,Two decades of induced pluripotent stem cell research: From discovery to diverse applications,10.1016/j.stem.2026.02.003,https://doi.org/10.1016/j.stem.2026.02.003,,
Cell,2026,Chromatin Accessibility Dynamics during Chemical Induction of Pluripotency,10.1016/j.stem.2026.01.011,https://doi.org/10.1016/j.stem.2026.01.011,,
Cell,2026,Modeling human prenatal adrenocortical functional zonation dynamics from pluripotent stem cells,10.1016/j.stem.2026.02.002,https://doi.org/10.1016/j.stem.2026.02.002,,
Cell,2026,Engineered intestinal crypt geometry uncovers YAP1-dependent fetal-to-adult transition,10.1016/j.stem.2026.01.006,https://doi.org/10.1016/j.stem.2026.01.006,,
Cell,2026,Genetically encoded fluorescent reporters to visualize α-synuclein pathology in live brain,10.1016/j.cell.2026.01.035,https://doi.org/10.1016/j.cell.2026.01.035,,
Cell,2026,Immune-microbiome coordination defines interferon setpoints in healthy humans,10.1016/j.cell.2026.02.003,https://doi.org/10.1016/j.cell.2026.02.003,,
